"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Валидация JSON схем","0","Лишние поля (UnregisterField)","4","0","Комбинации лишних ключей на разных уровнях","0"
"0","Валидация JSON схем","0","Типизация свойств","2","0","Проверка неизвестных типов данных","0"
"0","Валидация JSON схем","0","Успешная валидация","4","0","","0"
"0","Валидация JSON схем","0","Лишние поля (UnregisterField)","4","0","Массовые лишние ключи (Triple Extra)","0"
"0","Валидация JSON схем","0","Структура Pydantic","4","0","Проверка базовых ValidationError","0"
"0","Синхронизация Кода и Схемы","0","Имя функции","6","0","Проверка соответствия имени функции в Python и JSON-схеме","0"
"0","Валидация JSON схем","0","Обязательные поля свойств","5","0","Проверка выброса ExceptionGroup при отсутствии полей","0"
"0","Валидация JSON схем","0","Лишние поля (UnregisterField)","3","0","Одиночные лишние ключи на разных уровнях вложенности","0"
"0","Синхронизация Кода и Схемы","0","Имя функции","2","0","Успешная синхронизация имен","0"
"0","Валидация JSON схем","0","Типизация свойств","5","0","Успешная синхронизация стандартных типов","0"
